,order_id,user_id,product_id,aisle_id,department_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,add_to_cart_order,reordered,user_total_orders,user_avg_days_between,user_avg_cart_pos,user_total_reorders,prod_total_reorders,prod_reorder_rate,prod_order_count,prod_avg_cart_pos
635763,1555526,67501,6184,32,4,46,4,19,5.0,2,1,46,5.0,2.5,4,1004,0.7431532198371577,1351,4.438934122871947
1070358,2816425,54565,48364,83,4,18,3,17,27.0,6,0,18,27.0,14.0,17,487,0.5316593886462883,916,9.12227074235808
969031,2250429,91940,19370,51,13,4,0,10,30.0,2,0,4,30.0,9.0,3,108,0.542713567839196,199,9.989949748743719
351071,916990,160432,11821,84,16,5,5,07,30.0,2,0,5,30.0,12.0,6,36,0.6792452830188679,53,5.69811320754717
129598,146985,155457,4472,91,16,11,4,11,28.0,1,1,11,28.0,12.5,10,426,0.6893203883495146,618,6.406148867313916
746816,1888896,176965,13176,24,4,10,5,08,3.0,7,1,10,3.0,5.0,3,13362,0.8631782945736434,15480,4.763501291989664
1299327,3362925,53091,23427,120,16,15,0,12,3.0,9,0,15,3.0,8.0,5,22,0.5365853658536586,41,10.658536585365853
1107409,2651349,176062,37067,24,4,8,2,09,30.0,1,1,8,30.0,2.5,3,1329,0.5698970840480274,2332,6.256861063464837
1077454,2618653,162968,11365,32,4,71,5,11,0.0,13,1,71,0.0,8.0,13,153,0.6710526315789473,228,3.9210526315789473
786034,1951538,189740,21709,115,7,6,5,09,1.0,3,1,6,1.0,4.0,2,1076,0.7561489810260014,1423,6.7547434996486295
511111,1368209,51951,19048,83,4,5,6,14,30.0,20,1,5,30.0,11.5,17,327,0.45734265734265733,715,11.099300699300699
346342,910877,86238,12779,83,4,7,3,14,30.0,14,0,7,30.0,11.0,11,85,0.40669856459330145,209,10.564593301435407
1210450,2999533,146140,31555,69,15,5,0,16,13.0,8,1,5,13.0,6.5,11,63,0.5575221238938053,113,10.212389380530974
298125,855825,188792,15872,83,4,9,2,23,11.0,1,0,9,11.0,9.5,1,397,0.5787172011661808,686,9.720116618075801
1089751,2623691,137147,5450,24,4,12,1,08,30.0,5,0,12,30.0,7.5,3,2189,0.705446342249436,3103,7.341282629713181
1032236,2516847,109446,31915,24,4,16,0,19,30.0,4,1,16,30.0,4.5,5,335,0.6686626746506986,501,8.598802395209582
72005,75200,58656,25122,36,16,18,5,23,20.0,9,1,18,20.0,6.5,10,19,0.59375,32,8.28125
994662,2451797,204586,24838,91,16,46,5,19,3.0,2,1,46,3.0,3.5,5,1615,0.7445827570308898,2169,6.283079760258183
169383,460971,205325,9901,120,16,42,4,15,7.0,20,1,42,7.0,11.5,19,74,0.5826771653543307,127,9.51968503937008
130014,147702,83031,41767,108,16,4,0,13,21.0,11,0,4,21.0,6.5,4,9,0.6923076923076923,13,9.307692307692308
445933,1076003,178316,30701,48,14,6,0,16,16.0,21,0,6,16.0,15.5,20,4,0.4,10,12.7
41067,300867,126010,35473,54,17,5,4,19,27.0,3,1,5,27.0,2.0,1,39,0.47560975609756095,82,6.353658536585366
324641,896858,177239,21635,106,12,11,0,11,7.0,21,0,11,7.0,13.0,15,7,0.3333333333333333,21,10.095238095238095
305683,863820,27802,37687,123,4,15,1,12,30.0,1,1,15,30.0,5.0,9,895,0.6571218795888399,1362,7.727606461086637
206545,506671,160363,45767,92,18,43,5,13,8.0,1,1,43,8.0,4.5,6,69,0.5948275862068966,116,12.732758620689655
946414,2400076,9452,30638,54,17,58,4,14,1.0,2,0,58,1.0,3.0,1,34,0.41975308641975306,81,7.679012345679013
924516,2366095,111535,28842,16,4,5,6,09,28.0,3,0,5,28.0,11.0,11,1142,0.5947916666666667,1920,8.995833333333334
103032,386665,94101,43713,88,13,8,1,09,30.0,10,1,8,30.0,15.0,14,405,0.5328947368421053,760,10.522368421052631
1341799,3417483,88512,46820,91,16,5,3,15,18.0,25,1,5,18.0,19.5,7,307,0.6703056768558951,458,6.3384279475982535
1053374,2795705,34042,40268,78,19,44,5,16,14.0,15,1,44,14.0,11.5,19,165,0.5978260869565217,276,10.789855072463768
674571,1810523,194589,47209,24,4,27,2,15,9.0,5,1,27,9.0,12.0,20,6042,0.8284656519950637,7293,6.972850678733032
1002087,2543647,160409,47141,77,7,41,4,06,7.0,25,1,41,7.0,22.5,36,404,0.7150442477876107,565,6.263716814159292
328150,901108,63949,19893,91,16,4,0,13,30.0,8,1,4,30.0,6.0,7,54,0.6206896551724138,87,7.816091954022989
1353022,3209864,71202,47788,24,4,5,3,14,4.0,5,0,5,4.0,5.0,2,245,0.5697674418604651,430,9.586046511627908
989028,2442551,92237,31966,4,9,7,5,09,30.0,21,1,7,30.0,12.5,14,13,0.5,26,12.961538461538462
744450,1882900,116228,5322,3,19,11,4,22,17.0,1,1,11,17.0,8.0,6,242,0.6703601108033241,361,8.869806094182826
1245534,3295442,120751,21137,24,4,7,0,09,30.0,8,0,7,30.0,6.0,4,8603,0.7897007527079126,10894,8.017073618505599
1005498,2551484,64196,7963,58,1,5,1,09,28.0,8,0,5,28.0,7.5,10,324,0.6585365853658537,492,8.054878048780488
1306649,3141807,45530,27086,53,16,17,3,11,29.0,3,1,17,29.0,4.5,7,1898,0.783003300330033,2424,6.81023102310231
812838,2034704,9750,6550,17,13,4,4,14,2.0,6,0,4,2.0,4.0,2,43,0.36134453781512604,119,9.327731092436975
